arquivo	status	pass	fail	segundos	mem_livre_pct	llm_gb
aiprovider	OK	41	0	30	71	0.0
api	OK	42	0	4	67	0.0
approvals	OK	26	0	0	69	0.0
audit-forense	OK	12	0	1	69	0.0
auth	OK	24	0	0	70	0.0
autonomy	OK	15	0	0	70	0.0
backpressure-audit	OK	13	0	6	70	0.0
bench	OK	37	0	1	71	0.0
cascata-percepcao	OK	18	0	4	71	0.0
cli	OK	35	0	5	71	0.0
click-entrega	OK	21	0	9	72	0.0
config-schema	OK	16	0	1	72	0.0
e2e-gate	OK	12	0	2	72	0.0
injection-wired	OK	16	0	1	72	0.0
lease	OK	37	0	0	73	0.0
mcp	OK	36	0	2	73	0.0
observability	OK	22	0	0	73	0.0
ownership	OK	11	0	3	73	0.0
perception	OK	8	0	1	73	0.0
pointer-keyboard	OK	26	0	2	73	0.0
policy-vault	OK	14	0	2	73	0.0
product02-gate	OK	3	0	37	73	0.0
providers-runtime	OK	14	0	9	70	0.0
recovery-watchdog	OK	24	0	7	72	0.0
replay-hardening	OK	44	0	1	73	0.0
sdk-ts	OK	8	0	0	73	0.0
security-files-secrets	OK	38	0	0	73	0.0
security-net-injection	OK	22	0	2	73	0.0
session	OK	12	0	1	73	0.0
skills	OK	10	0	0	74	0.0
supervisor	OK	10	0	2	74	0.0
target-verifier	OK	28	0	2	74	0.0
task-engine	OK	19	0	14	73	0.0
traceability	OK	7	0	0	74	0.0
ui-build	OK	6	0	1	74	0.0
vision	OK	50	0	15	74	0.0
watchdog-wired	OK	8	0	9	59	0.0
