etapa	status	detalhe
suite-typescript	PASS	TS_PASS=792 TS_FAIL=0 em 37 arquivos
e2e-02-gate	PASS	20 casos PASS
e2e-03-console	PASS	18 casos PASS
e2e-04-takeover	PASS	11 casos PASS
e2e-05-controles	PASS	13 casos PASS
e2e-06-segredos	PASS	4 casos PASS
e2e-07-replay	PASS	13 casos PASS
e2e-08-modos	PASS	8 casos PASS
e2e-09-falhas	PASS	13 casos PASS
e2e-10-latencia	PASS	6 casos PASS
gi-pytest	PASS	148 passed, 2 warnings in 18.88s
mcp-catalogo	PASS	modo 0600 · confiaveis=2 revogadas=1
ci-cobertura	PASS	todo arquivo de teste está declarado na CI
guardas-estaticas	PASS	shell + versão + links de documentação
segredos-publicos	PASS	PUBLIC_REPO_SECRET_LEAK=0
demos	PASS	24 passos OK em 6 demos
tsc-noEmit	PASS	sem erro de tipo
